#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
44086  36.001  -75.421 2019 03 11 23 25  MM    MM    MM  0.8   9  6.5 120     MM    MM    MM   9.4    MM   MM     MM
44087  37.026  -76.151 2019 03 11 23 00  MM    MM    MM  0.2  MM  4.4  MM     MM    MM    MM   8.1    MM   MM     MM
44089  37.757  -75.334 2019 03 11 23 00  MM    MM    MM  0.8   8   MM  MM     MM    MM    MM   5.8    MM   MM     MM
44090  41.840  -70.329 2019 03 11 23 30  MM    MM    MM  0.4   3   MM  MM     MM    MM    MM   2.1    MM   MM     MM
44091  39.778  -73.769 2019 03 11 23 00  MM    MM    MM  1.1   8   MM  MM     MM    MM    MM   5.2    MM   MM     MM
44095  35.750  -75.330 2019 03 11 23 16  MM    MM    MM  0.8   8  6.5 127     MM    MM    MM   9.4    MM   MM     MM
44097  40.969  -71.127 2019 03 11 23 00  MM    MM    MM  2.0   9   MM  MM     MM    MM    MM   5.1    MM   MM     MM
44099  36.914  -75.720 2019 03 11 23 00  MM    MM    MM  0.6   8   MM  MM     MM    MM    MM   7.6    MM   MM     MM
44100  36.260  -75.594 2019 03 11 23 15  MM    MM    MM  0.7   8  6.8 132     MM    MM    MM   9.1    MM   MM     MM
44137  42.260  -62.000 2019 03 11 23 00 260   6.0   7.0  4.0  11   MM  MM 1010.7  +1.3   4.1   2.9    MM   MM     MM
44139  44.240  -57.100 2019 03 11 23 00 200  10.0  12.0  4.4   8   MM  MM 1007.8  -3.3   5.9   3.8    MM   MM     MM
44150  42.500  -64.020 2019 03 11 23 00 270  12.0  14.0  2.9  10   MM  MM 1010.5  +0.9   5.3   6.5    MM   MM     MM
44258  44.500  -63.400 2019 03 11 23 00 230   6.0   7.0  3.8  11   MM  MM 1006.3  +1.1   1.1  -0.3    MM   MM     MM
46001  56.304 -147.920 2019 03 11 22 50  MM  13.0  15.0  4.1  14  7.3  MM  997.2  +3.0   5.6   5.8    MM   MM     MM
46004  50.930 -136.100 2019 03 11 22 00 270  10.0  13.0  5.6  16   MM  MM 1008.6  +0.6   6.8   7.2    MM   MM     MM
46005  46.134 -131.079 2019 03 11 23 20  MM    MM    MM   MM  MM   MM  MM 1014.7    MM    MM    MM    MM   MM     MM
46006  40.782 -137.397 2019 03 11 23 20 320  11.0  14.0   MM  MM   MM  MM 1025.0    MM  10.8  11.4  10.0   MM     MM
46011  34.956 -121.019 2019 03 11 22 50 320  10.0  12.0  3.0  15  9.0 304 1013.3  -2.3  13.2  13.3    MM   MM     MM
46013  38.238 -123.307 2019 03 11 23 30 300   6.0   8.0   MM  MM   MM  MM 1017.7    MM    MM  12.6    MM   MM     MM
46014  39.231 -123.974 2019 03 11 23 40 330   7.0   9.0   MM  MM   MM  MM 1018.2    MM  11.9  11.8  10.4   MM     MM
46022  40.712 -124.529 2019 03 11 23 40 330   8.0  10.0   MM  MM   MM  MM 1020.5    MM    MM  11.0    MM   MM     MM
46025  33.761 -119.049 2019 03 11 23 40 310   4.0   7.0   MM  MM   MM  MM 1010.4    MM  14.9  13.9  10.3   MM     MM
46026  37.754 -122.839 2019 03 11 23 40 310   9.0  11.0   MM  MM   MM  MM 1017.6    MM  12.5  12.7    MM   MM     MM
46027  41.850 -124.386 2019 03 11 23 40 330   5.0   7.0   MM  MM   MM  MM 1020.7    MM  10.0  11.1  10.0   MM     MM
46028  35.703 -121.857 2019 03 11 22 50  MM    MM    MM  2.9  16  8.4 321 1014.4  -2.1  13.2  13.1    MM   MM     MM
46029  46.143 -124.485 2019 03 11 22 50 200   9.0  11.0  2.5  14  8.3 269 1017.0  -2.4   8.3   8.6   3.7   MM     MM
46035  57.026 -177.738 2019 03 11 22 50  MM    MM    MM  2.7  11  7.3 232 1000.6  +0.6    MM   2.5    MM   MM     MM
46041  47.353 -124.742 2019 03 11 22 50 170  10.0  12.0  3.1  14  7.3 295 1015.4  -2.4   6.8   9.2    MM   MM     MM
46042  36.785 -122.398 2019 03 11 22 50 320   9.0  11.0  3.1  15  9.0 307 1015.4  -2.5  13.6  12.8    MM   MM     MM
46047  32.404 -119.506 2019 03 11 22 50  MM    MM    MM  3.3  17 10.4 334 1010.3  -2.5  13.5  14.8    MM   MM     MM
46050  44.677 -124.515 2019 03 11 23 30 210   5.0   6.0   MM  MM   MM  MM 1019.2    MM    MM    MM    MM   MM     MM
46053  34.252 -119.853 2019 03 11 23 40 260   2.0   4.0   MM  MM   MM  MM 1012.2    MM  14.5  13.4  12.2   MM     MM
46054  34.265 -120.477 2019 03 11 23 40  MM  12.0  15.0   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
46059  38.094 -129.951 2019 03 11 23 20 300   6.0   8.0   MM  MM   MM  MM 1025.5    MM  10.6  11.6   6.4   MM     MM
46060  60.584 -146.805 2019 03 11 22 50 100  10.0  13.0  1.0   4  4.1  96  993.0  +1.4   2.9   5.7    MM   MM     MM
46061  60.238 -146.833 2019 03 11 22 50 150   5.0   8.0  2.2   9  6.6  MM  992.7  +1.8   4.0   5.1    MM   MM     MM
46066  52.785 -155.047 2019 03 11 22 50  MM    MM    MM  5.7  13  9.1 252 1012.7  +2.4   6.2   4.6    MM   MM     MM
