#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
44069  40.699  -73.087 2018 11 29 07 00 290   6.0   9.0   MM  MM   MM  MM     MM    MM   4.2   4.2  -1.4   MM     MM
44072  37.201  -76.266 2018 11 29 07 30 330   8.0  11.0   MM  MM   MM  MM     MM    MM   1.8    MM    MM   MM     MM
44086  36.001  -75.421 2018 11 29 07 25  MM    MM    MM  1.5   6  4.4 356     MM    MM    MM  13.7    MM   MM     MM
44087  37.026  -76.151 2018 11 29 07 30  MM    MM    MM  0.8   4  3.3 344     MM    MM    MM   9.5    MM   MM     MM
44089  37.757  -75.334 2018 11 29 07 30  MM    MM    MM  0.8   3  3.2 298     MM    MM    MM  10.8    MM   MM     MM
44090  41.840  -70.329 2018 11 29 07 30  MM    MM    MM  1.5   5  4.3 345     MM    MM    MM   8.3    MM   MM     MM
44095  35.750  -75.330 2018 11 29 07 16  MM    MM    MM  1.6   5  4.6 349     MM    MM    MM  13.4    MM   MM     MM
44097  40.969  -71.127 2018 11 29 07 43  MM    MM    MM  2.7   6  5.6 280     MM    MM    MM  11.9    MM   MM     MM
44098  42.798  -70.168 2018 11 29 07 38  MM    MM    MM  1.8   5  4.7 323     MM    MM    MM   8.7    MM   MM     MM
44099  36.915  -75.720 2018 11 29 07 30  MM    MM    MM  1.2   5  3.9 343     MM    MM    MM  10.7    MM   MM     MM
44100  36.260  -75.594 2018 11 29 07 15  MM    MM    MM  1.2   6  4.1  16     MM    MM    MM  13.1    MM   MM     MM
44137  42.260  -62.000 2018 11 29 07 00 290  18.0  22.0  4.5   8   MM  MM  979.8    MM   8.0  12.7    MM   MM     MM
44139  44.240  -57.100 2018 11 29 07 00 200  23.0  32.0  6.5  11   MM  MM  958.7  -2.3   4.6   6.5    MM   MM     MM
44150  42.500  -64.020 2018 11 29 07 00 300  14.0  17.0  3.4   9   MM  MM  984.7  -0.3   6.5   8.5    MM   MM     MM
44258  44.500  -63.400 2018 11 29 07 00 330  12.0  15.0  1.7  10   MM  MM  980.0  -1.3   2.1   5.5    MM   MM     MM
45005  41.677  -82.398 2018 11 29 07 30 220   6.0  10.0   MM  MM   MM  MM 1019.5    MM  -2.4    MM  -5.5   MM     MM
45007  42.674  -87.026 2018 11 29 06 50 170   8.0   9.0  0.7   4  3.5  MM 1016.8  -0.4  -0.1   5.6  -1.1   MM     MM
45132  42.460  -81.220 2018 11 29 07 00 260   8.0  10.0  0.9   5   MM  MM 1016.8  +0.3   0.0   6.2    MM   MM     MM
45138  49.540  -65.710 2018 11 29 07 00  40   8.0   9.0  2.1   7   MM  MM 1002.7  +0.1   1.4   1.4    MM   MM     MM
45142  42.740  -79.290 2018 11 29 07 00 280  11.0  13.0  1.7   7   MM  MM 1015.1    MM   1.5   5.8    MM   MM     MM
45154  46.050  -82.640 2018 11 29 07 00 280   5.0   6.0  0.3   4   MM  MM 1014.9  +0.2  -0.2   4.9    MM   MM     MM
45186  42.368  -87.795 2018 11 29 07 40 210   8.0    MM  0.6   4   MM  MM     MM    MM  -1.0   3.4    MM   MM     MM
45187  42.491  -87.779 2018 11 29 07 40  MM    MM    MM  0.6   4   MM  MM     MM    MM   0.2   3.4    MM   MM     MM
46001  56.304 -147.920 2018 11 29 06 50 220   4.0   5.0  2.2   8  5.9  MM 1004.7  +1.1   3.7   7.8    MM   MM     MM
46002  42.612 -130.537 2018 11 29 07 30  10  13.0  17.0   MM  MM   MM  MM 1001.8    MM  13.5  15.8  10.8   MM     MM
46004  50.930 -136.100 2018 11 29 06 00 340   6.0   7.0  3.3  11   MM  MM 1006.5    MM   9.4  10.9    MM   MM     MM
46005  46.140 -131.070 2018 11 29 07 20  MM    MM    MM   MM  MM   MM  MM 1006.1    MM    MM    MM    MM   MM     MM
46006  40.782 -137.397 2018 11 29 07 30 330  13.0  17.0   MM  MM   MM  MM 1014.1    MM  13.3    MM   8.8   MM     MM
46011  34.956 -121.019 2018 11 29 06 50 170  12.0  15.0  3.4  16  8.9 287 1007.4  -3.1  15.6  16.8    MM   MM     MM
